Category,Appliance,Type/Variant,Min Power (W),Max Power (W),Surge Factor,Typical Hours/day,Notes
,,Advanced ICU Monitor,80,150,1,12–24,"Found in intensive care units, continuous monitoring."
,Ultrasound Machines,Portable Ultrasound,200,500,1.2,2–8,Used in clinics and mobile health outreaches.
,,Standard Hospital Unit,500,1500,1.5,4–12,Found in hospitals for diagnostics.
,X-Ray Machines,Portable X-Ray,500,2000,2,1–4,Used in small clinics and dental offices.
,,Standard Radiology X-Ray,3000,10000,2.5,2–6,Installed in hospitals; requires high surge capacity.
,MRI Machines,Closed MRI,"10,000","50,000",2.5,4–8,Found only in advanced hospitals.
,,Open MRI,5000,20000,2.5,4–8,Lower power but less detailed; used in diagnostic centers.
,CT Scanners,Compact CT,5000,20000,2.5,2–6,Found in specialized hospitals.
,,Full-body CT,20000,50000,2.5,2–6,Heavy diagnostic use; rare in Nigeria.
,Incubators,Infant Incubator,300,800,1.5,12–24,Neonatal care in maternity hospitals.
,Dialysis Machines,Hemodialysis Unit,1500,3000,1.5,3–6,Kidney centers and specialized hospitals.
,Oxygen Concentrators,Small Portable Unit,200,400,1.2,6–24,"Home healthcare, small clinics."
,,Large Medical Unit,400,1000,1.2,12–24,Hospital intensive care units.
,Laboratory Equipment,Centrifuge (small),100,500,1.5,2–6,Medical labs for blood/urine testing.
,,Centrifuge (large),"1,000","3,000",2,2–6,Large hospitals and labs.
,,Incubator (medical/lab),200,800,1.5,12–24,Used in neonatal care and biology labs.
,,Blood Analyzer,200,500,1.5,2–6,Pathology labs.
,Respiratory Equipment,Oxygen Concentrator,300,800,1.5,6–24,"Home care, hospitals."
,,Ventilator (ICU),400,"1,200",2,12–24,Critical care in hospitals.
,Defibrillators,Portable AED,100,300,1.2,<1,Emergency use in ambulances and clinics.
,,Hospital Defibrillator,300,1000,1.2,<1,Used in emergency wards.
,Sterilizers (Autoclaves),Small Clinic Autoclave,500,1000,1.5,2–6,Used in dental and small clinics.
,,Large Hospital Autoclave,2000,5000,2,2–6,Found in hospitals and labs.
,,UV Sterilizer Cabinet,50,200,1.2,2–6,"Beauty salons, clinics."
,Microscopes,Basic Light Microscope,10,30,1,2–6,Schools and basic labs.
,,Digital Microscope,30,80,1,2–6,Advanced schools and clinics.
,,Research-grade Microscope,100,500,1,2–8,Universities and research labs.
,Lab Freezers,Compact Medical Freezer,100,300,3,6–24,For vaccines and lab samples.
,,Ultra-Low Freezer (-80°C),500,2000,3,12–24,Found in advanced labs and research institutes.
,Cold Storage (Medical),Vaccine Refrigerator (small),100,300,3,12–24,Rural clinics for vaccine preservation.
,,Medical Freezer (large),500,"1,500",3,12–24,"Hospitals, labs, blood banks."
,Surgical Tools,Electrosurgical Unit,300,"1,200",2,2–6,Used in operating rooms.
,,Surgical Lights (LED/Halogen),100,500,1.5,2–8,Found in theatres for precision lighting.
,Dental Equipment,Dental Chair with Tools,500,1500,1.5,2–8,Dentists and clinics.
,,Dental X-Ray Unit,200,800,2,1–4,Specialized dental clinics.
Chunk 34: Agricultural & Farming Equipment,Water Pumps (Irrigation/Borehole),Small Submersible Pump,200,"1,000",2,2–6,"Used for shallow wells, small farms."
,,Large Submersible Pump,"1,500","5,000",2.5,2–8,"Borehole systems for estates, farms, rural communities."
,,Surface Pump,500,"2,000",2,2–6,Open-field irrigation.
,Grain Processing Machines,Grain Grinder/Mill (small),500,"1,500",2,1–4,"Small shops, rural areas."
,,Grain Thresher (large),"2,000","7,000",2.5,2–6,"Large farms, cooperatives."
,Incubators,Small Egg Incubator (50–200 eggs),100,500,1,24,"Poultry farms, small agribusiness."
,,Large Incubator (1000+ eggs),"1,000","5,000",1.2,24,Commercial poultry farms.
,Feed Processing Equipment,Feed Mixer (small),500,"1,500",2,2–6,Poultry and livestock farms.
,,Feed Pelletizer (large),"2,000","6,000",2.5,2–8,Industrial animal feed production.
,Irrigation Systems,Drip Irrigation Pump,100,500,1.5,2–6,Small-scale vegetable farms.
,,Pivot Irrigation System,"1,000","4,000",2,4–10,"Large farms (rice, maize, wheat)."
,Harvesting Equipment,Small Corn Sheller,500,"1,500",2,2–4,"Rural cooperatives, markets."
,,Rice Milling Machine,"1,000","5,000",2.5,2–6,Medium to large rice mills.
,Cold Storage,Small Farm Cold Room,"1,000","3,000",1.5,12–24,Vegetable and fruit storage.
,,Large Cold Warehouse,"5,000","20,000",2,12–24,Industrial-scale food preservation.
,Sprayers,Electric Knapsack Sprayer,60,150,1,2–6,Farmers for pesticides and fertilizers.
,,Boom Sprayer (tractor-mounted),"1,000","3,000",2,2–4,"Large farms, plantations."
,Greenhouse Systems,Ventilation Fan,100,500,1.2,6–12,Used to regulate temperature.
,,Grow Lights (LED/HID),50,500,1,6–18,Commercial greenhouses.
,Livestock Equipment,Automatic Watering System,50,200,1,4–12,"Poultry, cattle, goat farms."
,,Milking Machine,500,"1,500",2,2–6,Dairy farms.
Chunk 37: Educational & Institutional Appliances,Overhead Projectors,Classroom Overhead Projector,250,500,1.5,2–6,Used in older classrooms and lecture halls.
,Smart Boards,Interactive Whiteboard,100,300,1.2,2–6,"Schools, training centers, universities."
,Digital Displays,"Classroom LED Screen (32–55"")",80,250,1,2–8,"Modern classrooms, training halls."
,Language Lab Equipment,Headsets + Consoles,50,150,1,2–6,Language learning facilities.
,Science Lab Equipment,Microscope (digital),20,60,1,2–6,"Educational labs, research institutions."
,,Centrifuge (small),100,500,1.5,1–4,Medical & science labs.
,,Centrifuge (large),"1,000","3,000",2,2–6,"Hospital, research institutions."
,,Hot Plate (lab),200,"1,000",1.5,1–4,Chemistry labs for heating.
,Classroom Tools,Document Camera,10,30,1,2–6,Used for live teaching demonstrations.
,,Slide Projector,100,250,1.5,2–6,"Legacy device, some schools still use."
,Library Equipment,Barcode Scanner,5,15,1,2–8,Used for borrowing/returns.
,,Library Kiosk,100,300,1.2,6–12,Digital catalog search.
,Institutional Printers,Heavy-Duty Printer (A3/A2),500,"2,000",2,2–8,"Printing exam scripts, books."
,,Industrial Photocopier,"1,000","3,000",2.5,4–12,"Universities, ministries."
,AV Equipment,PA System (small hall),200,800,1.5,2–6,"Lecture halls, schools."
,,PA System (large hall),"1,000","5,000",2,2–8,"Universities, conferences."
,Specialized Devices,3D Printer (educational),50,200,1.5,2–6,Schools teaching STEM/engineering.
,,Robotics Kits (charging),20,100,1,2–6,Coding/robotics education labs.
,Other Classroom Devices,Electronic Bell System,50,150,1,2–12,Used in schools for timekeeping.
,,Classroom Fan (wall-mounted),40,80,1.2,6–12,For ventilation in classrooms.
Basic Motion Sensor,,,,,,,
